SOURCE	SOURCE_GLOSS	RELATION	TARGET	TARGET_GLOSS
1432	CUT	narrower	2155	CUT (WITH SCISSORS)
1432	CUT	narrower	2156	CUT (WITH KNIFE)
1433	HIT	narrower	3307	HIT (A TARGET)
1433	HIT	narrower	353	STRIKE
1444	TURN AROUND	narrower	3537	TURN OVER
1462	POT	narrower	3653	COOKING POT
1462	POT	narrower	3765	STORING POT
1484	OIL (ORGANIC SUBSTANCE)	narrower	2555	OIL (FROM PLANTS)
1494	DIE	narrower	2865	DIE (FROM ACCIDENT)
1495	HAPPY	resultsin	2192	REJOICE
1496	GRANDMOTHER	narrower	2177	MATERNAL GRANDMOTHER
1502	GOAT	narrower	2475	MALE GOAT
1502	GOAT	narrower	2476	FEMALE GOAT
1519	RUN	narrower	2142	RUN AWAY
1530	BOWL	narrower	2053	SMALL BOWL
1530	BOWL	narrower	3286	LARGE BOWL
155	CHOP	narrower	2149	CHOP (INTO PIECES)
155	CHOP	narrower	3151	CUT (WITH AXE)
1551	FEMALE	narrower	2260	FEMALE (OF PERSON)
1551	FEMALE	narrower	2262	FEMALE (OF ANIMAL)
1551	FEMALE	narrower	3923	FEMALE ANIMAL
1553	MALE	narrower	2261	MALE (OF PERSON)
1553	MALE	narrower	2263	MALE (OF ANIMAL)
1553	MALE	narrower	3924	MALE ANIMAL
1554	MAN	narrower	2806	BLACK MAN
1554	MAN	narrower	2839	WHITE MAN
1554	MAN	narrower	406	OLD MAN
1554	MAN	narrower	76	YOUNG MAN
1588	TURN	narrower	1444	TURN AROUND
1588	TURN	narrower	1445	TURN (SOMETHING)
1602	WAKE UP	transitiveof	3174	WAKE UP (SOMEONE)
1606	INSIDE	narrower	1460	IN
1606	INSIDE	narrower	3305	INSIDE A HOUSE
1617	GRANDCHILD	narrower	2703	GRANDCHILD (DAUGHTER'S OFFSPRING)
1618	GRANDSON	narrower	2702	GRANDSON (SON'S SON)
1620	SON	narrower	3779	SON (OF MALE EGO)
1640	SIBLING	narrower	1262	BROTHER
1640	SIBLING	narrower	1263	SISTER
1640	SIBLING	narrower	405	OLDER SIBLING
1640	SIBLING	narrower	427	YOUNGER SIBLING
1643	COUSIN	narrower	3162	CROSS-COUSIN
1643	COUSIN	narrower	3822	MALE COUSIN
1643	COUSIN	narrower	3823	FEMALE COUSIN
1660	LOSE	narrower	3072	MISPLACE
1660	LOSE	narrower	3535	BE DEFEATED
1685	AFTER	narrower	2093	AFTERWARDS
1729	PLAIT OR BRAID OR WEAVE	narrower	133	WEAVE
1729	PLAIT OR BRAID OR WEAVE	narrower	3295	BRAID (VERB)
1758	OLDER SISTER	narrower	2418	OLDER SISTER (OF MAN)
1758	OLDER SISTER	narrower	2419	OLDER SISTER (OF WOMAN)
1759	OLDER BROTHER	narrower	2414	OLDER BROTHER (OF MAN)
1759	OLDER BROTHER	narrower	2415	OLDER BROTHER (OF WOMAN)
1760	YOUNGER BROTHER	narrower	2416	YOUNGER BROTHER (OF MAN)
1760	YOUNGER BROTHER	narrower	2417	YOUNGER BROTHER (OF WOMAN)
1761	YOUNGER SISTER	narrower	2420	YOUNGER SISTER (OF MAN)
1761	YOUNGER SISTER	narrower	2421	YOUNGER SISTER (OF WOMAN)
177	BETEL PEPPER VINE	requires	3161	CHEW BETEL
1801	CHILD (DESCENDANT)	narrower	1357	DAUGHTER
1801	CHILD (DESCENDANT)	narrower	1620	SON
1811	SOUND OR NOISE	narrower	1182	NOISE
1826	ANGRY	resultsin	2215	BECOME ANGRY
1831	MEET	narrower	3904	ENCOUNTER (MEET)
1896	FINGERNAIL OR TOENAIL	narrower	1258	FINGERNAIL
1896	FINGERNAIL OR TOENAIL	narrower	2662	TOENAIL
1906	SOUR	resultsin	2229	BECOME SOUR
1917	TIE	narrower	1094	FASTEN
1920	DREAM (SOMETHING)	producedby	2374	DREAM
1985	PATERNAL UNCLE (FATHER'S BROTHER)	narrower	2173	PATERNAL UNCLE (FATHER'S OLDER BROTHER)
1985	PATERNAL UNCLE (FATHER'S BROTHER)	narrower	2174	PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)
2004	BEND	narrower	2761	BEND (ONESELF)
2009	DOG	narrower	2480	MALE DOG
2009	DOG	narrower	2481	FEMALE DOG
203	MARRY	narrower	2163	MARRY (AS WOMAN)
203	MARRY	narrower	2164	MARRY (AS MAN)
2092	HIS OR HER	narrower	2473	HIS (GENITIVE OF HE)
2092	HIS OR HER	narrower	2474	HER (GENITIVE OF SHE)
2094	DOWN OR BELOW	narrower	1326	DOWN
2094	DOWN OR BELOW	narrower	1485	BELOW OR UNDER
2096	ANIMAL OR MEAT	narrower	2615	FLESH OR MEAT
2096	ANIMAL OR MEAT	narrower	619	ANIMAL
2098	FOOT OR LEG	narrower	1297	LEG
2098	FOOT OR LEG	narrower	1301	FOOT
2099	CHILD	narrower	1304	CHILD (YOUNG HUMAN)
2099	CHILD	narrower	1801	CHILD (DESCENDANT)
2100	THATCH OR ROOF	narrower	279	THATCH
2100	THATCH OR ROOF	narrower	769	ROOF
2101	BE DEAD OR DIE	narrower	1494	DIE
2101	BE DEAD OR DIE	narrower	1625	DEAD
2102	BURN	narrower	141	BURN (SOMETHING)
2102	BURN	narrower	1428	BURNING
2103	PAINFUL OR SICK	narrower	1129	PAINFUL
2103	PAINFUL OR SICK	narrower	1847	SICK
2104	HOLD OR TAKE	narrower	1448	HOLD
2104	HOLD OR TAKE	narrower	1749	TAKE
2105	FEMALE PERSON	narrower	962	WOMAN
2106	MALE PERSON	narrower	1554	MAN
2107	HAIR OR FOREHEAD	narrower	1040	HAIR
2107	HAIR OR FOREHEAD	narrower	123	FOREHEAD
2108	RAINING OR RAIN	narrower	1253	RAIN (RAINING)
2108	RAINING OR RAIN	narrower	658	RAIN (PRECIPITATION)
2109	FEAR OR FRIGHTEN	narrower	1419	FEAR (BE AFRAID)
2109	FEAR OR FRIGHTEN	narrower	252	FRIGHTEN
2112	OLD (AGED)	narrower	565	OLD (OF MAN)
2112	OLD (AGED)	narrower	566	OLD (OF WOMAN)
2114	BELLY OR STOMACH	narrower	1251	BELLY
2114	BELLY OR STOMACH	narrower	819	STOMACH
2115	CEASE OR FINISH	narrower	1928	CEASE
2115	CEASE OR FINISH	narrower	3351	STOP DOING
2116	REST OR SLEEP	narrower	1411	LIE (REST)
2116	REST OR SLEEP	narrower	1585	SLEEP
2117	DESIRE	narrower	1784	WANT
2117	DESIRE	narrower	923	LOVE
2118	MOUNTAIN OR HILL	narrower	614	HILL
2118	MOUNTAIN OR HILL	narrower	639	MOUNTAIN
2120	FINGER OR TOE	narrower	1303	FINGER
2120	FINGER OR TOE	narrower	1389	TOE
2121	ARM OR HAND	narrower	1277	HAND
2121	ARM OR HAND	narrower	1673	ARM
2124	SMELL	narrower	1586	SMELL (PERCEIVE)
2124	SMELL	narrower	1587	SMELL (STINK)
2125	STONE OR ROCK	narrower	668	ROCK
2125	STONE OR ROCK	narrower	857	STONE
2126	EAR OR HEAR	narrower	1247	EAR
2126	EAR OR HEAR	narrower	1408	HEAR
2127	BARK OR SKIN	narrower	1204	BARK
2127	BARK OR SKIN	narrower	763	SKIN
2128	CLAW OR NAIL	narrower	1896	FINGERNAIL OR TOENAIL
2128	CLAW OR NAIL	narrower	72	CLAW
2129	BREAST OR MILK	narrower	1402	BREAST
2129	BREAST OR MILK	narrower	635	MILK
2131	TORCH OR LAMP	narrower	1919	TORCH
2131	TORCH OR LAMP	narrower	625	LAMP
2132	SICKLE OR SCYTHE	narrower	20	SCYTHE
2132	SICKLE OR SCYTHE	narrower	341	SICKLE
2133	STRIKE OR BEAT	narrower	1433	HIT
2133	STRIKE OR BEAT	narrower	1665	BEAT
2135	TRADE OR BARTER	narrower	370	BARTER
2135	TRADE OR BARTER	narrower	898	TRADE
2137	MAGICIAN	narrower	823	SORCERER
2137	MAGICIAN	narrower	824	WITCH
2140	DAY OR SUN	narrower	1225	DAY (NOT NIGHT)
2140	DAY OR SUN	narrower	1343	SUN
2141	TREE OR WOOD	narrower	1803	WOOD
2141	TREE OR WOOD	narrower	906	TREE
2143	LONG OR TALL	narrower	1203	LONG
2143	LONG OR TALL	narrower	711	TALL
2144	SPRING OR WELL	narrower	849	SPRING (OF WATER)
2144	SPRING OR WELL	narrower	954	WELL
2146	ROAST OR FRY	narrower	1962	ROAST (SOMETHING)
2146	ROAST OR FRY	narrower	991	FRY
2147	WHO OR WHAT	narrower	1235	WHO
2147	WHO OR WHAT	narrower	1236	WHAT
2154	PLOUGH (INSTRUMENT)	requires	1921	PLOUGH
2175	PATERNAL AUNT	narrower	2170	PATERNAL AUNT (WIFE OF FATHER'S OLDER BROTHER)
2175	PATERNAL AUNT	narrower	2171	PATERNAL AUNT (WIFE OF FATHER'S YOUNGER BROTHER)
2175	PATERNAL AUNT	narrower	2691	PATERNAL AUNT (FATHER'S SISTER)
2176	MATERNAL AUNT	narrower	2172	MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)
2191	LOW (HEIGHT)	narrower	2484	SMALL (NOT TALL)
2205	PEAK	narrower	1614	SUMMIT
2209	BECOME EXTINGUISHED	resultsin	127	EXTINGUISH
2224	BEND (SOMETHING)	transitiveof	2004	BEND
2249	THIN (OF SHAPE OF OBJECT)	narrower	2305	THIN (OF HAIR AND THREAD)
2249	THIN (OF SHAPE OF OBJECT)	narrower	2306	THIN (OF LEAF AND CLOTH)
2268	POTION	narrower	1372	MEDICINE
2268	POTION	narrower	1499	JUICE
2269	BREATH OR LIFE	narrower	210	LIFE
2269	BREATH OR LIFE	narrower	870	BREATH
2271	THINK	narrower	1415	THINK (REFLECT)
2271	THINK	narrower	1513	THINK (BELIEVE)
2272	HOT OR WARM	narrower	1232	WARM
2272	HOT OR WARM	narrower	1286	HOT
2279	NO OR NOT	narrower	1240	NOT
2279	NO OR NOT	narrower	1269	NO
2280	LOUSE OR NIT	narrower	1392	LOUSE
2280	LOUSE OR NIT	narrower	267	NIT
2281	WORKING OR WORK	narrower	1086	WORK (ACTIVITY)
2281	WORKING OR WORK	narrower	984	WORK (LABOUR)
2282	SEA OR OCEAN	narrower	1474	SEA
2282	SEA OR OCEAN	narrower	645	OCEAN
2300	GREEN OR UNRIPE	narrower	1425	GREEN
2300	GREEN OR UNRIPE	narrower	1958	UNRIPE
2308	THIN	narrower	1400	THIN (SLIM)
2308	THIN	narrower	2249	THIN (OF SHAPE OF OBJECT)
2314	BROTHER-IN-LAW	narrower	2380	BROTHER-IN-LAW (OF MAN)
2314	BROTHER-IN-LAW	narrower	2696	BROTHER-IN-LAW (OLDER SISTER'S HUSBAND)
2314	BROTHER-IN-LAW	narrower	2697	BROTHER-IN-LAW (YOUNGER SISTER'S HUSBAND)
2314	BROTHER-IN-LAW	narrower	2698	BROTHER-IN-LAW (HUSBAND'S OLDER BROTHER)
2314	BROTHER-IN-LAW	narrower	2699	BROTHER-IN-LAW (HUSBAND'S YOUNGER BROTHER)
2317	SISTER-IN-LAW	narrower	2695	SISTER-IN-LAW (OLDER BROTHER'S WIFE)
2317	SISTER-IN-LAW	narrower	2700	SISTER-IN-LAW (HUSBAND'S OLDER SISTER)
2317	SISTER-IN-LAW	narrower	2701	SISTER-IN-LAW (HUSBAND'S YOUNGER SISTER)
2369	BETEL NUT	requires	3161	CHEW BETEL
2379	UP OR ABOVE	narrower	1591	UP
2379	UP OR ABOVE	narrower	1741	ABOVE
2381	FEATHER OR FUR OR HAIR	narrower	1040	HAIR
2381	FEATHER OR FUR OR HAIR	narrower	1201	FEATHER
2381	FEATHER OR FUR OR HAIR	narrower	2678	HAIR OR FUR
2381	FEATHER OR FUR OR HAIR	narrower	580	FUR
2382	BLUE OR GREEN	narrower	1425	GREEN
2382	BLUE OR GREEN	narrower	837	BLUE
2383	AUNT OR MOTHER-IN-LAW	narrower	1272	AUNT
2383	AUNT OR MOTHER-IN-LAW	narrower	2256	MOTHER-IN-LAW (OF WOMAN)
2384	COUSIN OR SISTER-IN-LAW	narrower	1643	COUSIN
2384	COUSIN OR SISTER-IN-LAW	narrower	2317	SISTER-IN-LAW
2385	GUAN OR TURKEY	narrower	2386	TURKEY
2385	GUAN OR TURKEY	narrower	437	GUAN
2387	UNCLE OR FATHER-IN-LAW	narrower	1055	FATHER-IN-LAW
2387	UNCLE OR FATHER-IN-LAW	narrower	1327	UNCLE
2391	BOY OR SON	narrower	1366	BOY
2391	BOY OR SON	narrower	1620	SON
2392	DAUGHTER OR GIRL	narrower	1357	DAUGHTER
2392	DAUGHTER OR GIRL	narrower	1646	GIRL
2399	GRANDPARENT	narrower	1383	GRANDFATHER
2399	GRANDPARENT	narrower	1496	GRANDMOTHER
2401	PICTURE	narrower	3303	PICTURE (PAINTING)
2401	PICTURE	narrower	3304	PICTURE (PHOTOGRAPH)
2436	GUTS OR HEART	narrower	1223	HEART
2436	GUTS OR HEART	narrower	1334	GUTS
2450	FOOT OR WALK	narrower	1443	WALK
2450	FOOT OR WALK	narrower	2098	FOOT OR LEG
2455	DREAMING OR DREAM	narrower	1920	DREAM (SOMETHING)
2455	DREAMING OR DREAM	narrower	2374	DREAM
2456	LARGE WILD HERBIVORE	narrower	164	KANGAROO
2456	LARGE WILD HERBIVORE	narrower	1936	DEER
2457	PATH OR ROAD	narrower	2252	PATH
2457	PATH OR ROAD	narrower	667	ROAD
2458	PERSPIRE OR SWEAT	narrower	125	SWEAT (SUBSTANCE)
2458	PERSPIRE OR SWEAT	narrower	126	SWEAT (PERSPIRE)
2459	GRINDSTONE	narrower	3022	TOP GRINDSTONE
2459	GRINDSTONE	narrower	3023	BOTTOM GRINDSTONE
2463	MOON OR MONTH	narrower	1313	MOON
2463	MOON OR MONTH	narrower	1370	MONTH
2477	YAK	narrower	2478	MALE YAK
2477	YAK	narrower	2479	FEMALE YAK
2486	HIDE	narrower	2485	HIDE (ONESELF)
2486	HIDE	narrower	602	HIDE (CONCEAL)
2493	BOIL	narrower	2492	BOIL (SOMETHING)
2493	BOIL	narrower	792	BOIL (OF LIQUID)
2514	SPOUSE	narrower	1199	WIFE
2514	SPOUSE	narrower	1200	HUSBAND
2551	ORGANIC FAT OR OIL	narrower	1484	OIL (ORGANIC SUBSTANCE)
2551	ORGANIC FAT OR OIL	narrower	323	FAT (ORGANIC SUBSTANCE)
2556	OIL (HYDROPHOBIC LIQUID)	narrower	1484	OIL (ORGANIC SUBSTANCE)
2558	BREAK (CLEAVE)	transitiveof	3020	BREAK (BREAKING)
2574	BEAN OR PEA	narrower	2025	PEA
2574	BEAN OR PEA	narrower	832	BEAN
2575	DO OR MAKE	narrower	734	MAKE
2575	DO OR MAKE	narrower	813	DO
2615	FLESH OR MEAT	narrower	2259	FLESH
2615	FLESH OR MEAT	narrower	634	MEAT
262	HE OR SHE OR IT	narrower	2642	HE OR SHE
2633	BLACK OR DARK	narrower	163	BLACK
2633	BLACK OR DARK	narrower	706	DARK
2634	WE TWO	narrower	2636	WE TWO (EXCLUSIVE)
2634	WE TWO	narrower	2637	WE TWO (INCLUSIVE)
2642	HE OR SHE	narrower	1211	HE
2642	HE OR SHE	narrower	1834	SHE
2644	GRANDFATHER OR OLDER BROTHER	narrower	1383	GRANDFATHER
2644	GRANDFATHER OR OLDER BROTHER	narrower	1759	OLDER BROTHER
2645	MAN OR PERSON	narrower	1554	MAN
2645	MAN OR PERSON	narrower	683	PERSON
2646	HUSBAND OR MALE PERSON	narrower	1200	HUSBAND
2646	HUSBAND OR MALE PERSON	narrower	2106	MALE PERSON
2650	ALL OR MANY	narrower	1198	MANY
2650	ALL OR MANY	narrower	98	ALL
2652	BROAD OR WIDE	narrower	1243	WIDE
2652	BROAD OR WIDE	narrower	2531	BROAD
2659	CHARCOAL OR COAL	narrower	1188	CHARCOAL
2659	CHARCOAL OR COAL	narrower	2658	COAL
2661	PEOPLE OR PERSON	narrower	683	PERSON
2661	PEOPLE OR PERSON	narrower	789	PEOPLE
2672	AUNT OR UNCLE	narrower	1272	AUNT
2672	AUNT OR UNCLE	narrower	1327	UNCLE
2675	FIRE OR FIREWOOD	narrower	10	FIREWOOD
2675	FIRE OR FIREWOOD	narrower	221	FIRE
2678	HAIR OR FUR	narrower	1040	HAIR
2678	HAIR OR FUR	narrower	189	HAIR (BODY)
2678	HAIR OR FUR	narrower	580	FUR
2683	EAGLE OR HAWK	narrower	1905	EAGLE
2683	EAGLE OR HAWK	narrower	307	HAWK
2689	LADDER OR STAIRS	narrower	1464	LADDER
2689	LADDER OR STAIRS	narrower	34	STAIRS
2691	PATERNAL AUNT (FATHER'S SISTER)	narrower	3041	PATERNAL AUNT (FATHER'S OLDER SISTER)
2692	MATERNAL UNCLE (MOTHER'S BROTHER)	narrower	3249	MATERNAL UNCLE (MOTHER'S OLDER BROTHER)
2692	MATERNAL UNCLE (MOTHER'S BROTHER)	narrower	3250	MATERNAL UNCLE (MOTHER'S YOUNGER BROTHER)
2693	MATERNAL AUNT (MOTHER'S SISTER)	narrower	3042	MATERNAL AUNT (MOTHER'S OLDER SISTER)
2693	MATERNAL AUNT (MOTHER'S SISTER)	narrower	3043	MATERNAL AUNT (MOTHER'S YOUNGER SISTER)
2705	INHALE	narrower	1689	SMOKE (INHALE)
2754	TOWARDS	narrower	2923	THITHER (THERE TO)
2754	TOWARDS	narrower	2925	HITHER (HERE TO)
2787	CONSUME (DRINK OR EAT)	narrower	1336	EAT
2787	CONSUME (DRINK OR EAT)	narrower	1401	DRINK
2790	HIGH OR TALL	narrower	1265	HIGH
2798	RIVER OR WATER	narrower	666	RIVER
2798	RIVER OR WATER	narrower	948	WATER
2799	LANGUAGE OR WORD	narrower	1307	LANGUAGE
2799	LANGUAGE OR WORD	narrower	1599	WORD
28	MOISTEN	producedby	1726	WET
2800	FEMALE PERSON OR MOTHER	narrower	1216	MOTHER
2800	FEMALE PERSON OR MOTHER	narrower	2105	FEMALE PERSON
2801	TOMORROW OR YESTERDAY	narrower	1174	YESTERDAY
2801	TOMORROW OR YESTERDAY	narrower	1329	TOMORROW
2896	CAUSE TO (LET)	narrower	1003	PERMIT
2908	GUEST OR STRANGER	narrower	1782	GUEST
2908	GUEST OR STRANGER	narrower	791	STRANGER
2991	PATERNAL AUNT (FATHER'S SISTER)	narrower	3041	PATERNAL AUNT (FATHER'S OLDER SISTER)
3025	BARN OR SHED	narrower	851	STABLE
3115	HAMMER (SOMETHING)	narrower	288	FORGE
3115	HAMMER (SOMETHING)	narrower	3306	NAIL
3182	MARRIAGE OR WEDDING	narrower	1259	WEDDING
3182	MARRIAGE OR WEDDING	narrower	2432	MARRIAGE
3183	BREATH OR BREATHE	narrower	1407	BREATHE
3183	BREATH OR BREATHE	narrower	870	BREATH
3184	BE ALIVE OR LIFE	narrower	1422	BE ALIVE
3184	BE ALIVE OR LIFE	narrower	210	LIFE
3185	BE DEAD OR DIE OR KILL	narrower	1417	KILL
3185	BE DEAD OR DIE OR KILL	narrower	1494	DIE
3185	BE DEAD OR DIE OR KILL	narrower	1625	DEAD
3185	BE DEAD OR DIE OR KILL	narrower	2101	BE DEAD OR DIE
3186	BE DEAD OR DEATH OR DIE	narrower	1494	DIE
3186	BE DEAD OR DEATH OR DIE	narrower	1625	DEAD
3186	BE DEAD OR DEATH OR DIE	narrower	2101	BE DEAD OR DIE
3186	BE DEAD OR DEATH OR DIE	narrower	910	DEATH
3187	DROWNED	resultsin	1904	DROWN
3188	MIGHTY OR POWERFUL OR STRONG	narrower	3001	POWERFUL
3188	MIGHTY OR POWERFUL OR STRONG	narrower	785	STRONG
3192	BRONZE OR COPPER	narrower	1825	COPPER
3192	BRONZE OR COPPER	narrower	2313	BRONZE
3194	PAINT (SOMETHING) OR PAINTING	narrower	2001	PAINTING
3194	PAINT (SOMETHING) OR PAINTING	narrower	3122	PAINT (SOMETHING)
3195	DAMAGE OR INJURE	narrower	1116	DAMAGE
3195	DAMAGE OR INJURE	narrower	44	INJURE
3198	NOTHING OR ZERO	narrower	1294	ZERO
3198	NOTHING OR ZERO	narrower	687	NOTHING
3201	HINDER OR PREVENT	narrower	1550	PREVENT
3201	HINDER OR PREVENT	narrower	554	HINDER
3201	HINDER OR PREVENT	narrower	92	SPOIL (SOMEBODY OR SOMETHING)
3203	CANNON OR GUN	narrower	1566	GUN
3203	CANNON OR GUN	narrower	3202	CANNON
3206	ELF OR FAIRY	narrower	1037	ELF
3206	ELF OR FAIRY	narrower	1138	FAIRY
3207	GO UP OR RISE (ONESELF)	narrower	1512	RISE (ONESELF)
3207	GO UP OR RISE (ONESELF)	narrower	705	GO UP (ASCEND)
3208	CENTER OR MIDDLE	narrower	1093	MIDDLE
3208	CENTER OR MIDDLE	narrower	491	CENTER
3213	HIRE OR RENT	narrower	3831	RENT (SOMETHING)
3213	HIRE OR RENT	narrower	856	HIRE
3217	TIN OR TINPLATE	narrower	358	TINPLATE
3217	TIN OR TINPLATE	narrower	893	TIN (METAL)
3220	MATERNAL UNCLE	narrower	2692	MATERNAL UNCLE (MOTHER'S BROTHER)
3220	MATERNAL UNCLE	narrower	2694	MATERNAL UNCLE (HUSBAND OF ONE'S MATERNAL AUNT)
3223	BRANCH OR TWIG	narrower	1531	BRANCH
3223	BRANCH OR TWIG	narrower	3222	TWIG
3228	BOW OR CROSSBOW	narrower	3193	CROSSBOW
3228	BOW OR CROSSBOW	narrower	994	BOW
323	FAT (ORGANIC SUBSTANCE)	narrower	2095	FAT (FOR NOURISHMENT)
3231	DEITY	narrower	1944	GOD
3237	ALLOW OR PERMIT	narrower	1003	PERMIT
3237	ALLOW OR PERMIT	narrower	3238	ALLOW
3275	CLOUD OR FOG	narrower	1489	CLOUD
3275	CLOUD OR FOG	narrower	249	FOG
3290	IMPEL	narrower	2868	DRIVE (CATTLE)
3291	DRIVE OR IMPEL OR RIDE	narrower	3290	IMPEL
3291	DRIVE OR IMPEL OR RIDE	narrower	367	RIDE
3291	DRIVE OR IMPEL OR RIDE	narrower	741	DRIVE
3297	BRAID (VERB) OR WEAVE (BASKET)	narrower	3295	BRAID (VERB)
3297	BRAID (VERB) OR WEAVE (BASKET)	narrower	3296	WEAVE (BASKET)
3297	PRECIPICE OR SLOPE	narrower	3076	SLOPE
3297	PRECIPICE OR SLOPE	narrower	618	PRECIPICE
3318	OAR OR PADDLE	narrower	234	PADDLE
3318	OAR OR PADDLE	narrower	3137	OAR
3321	POND OR LAKE	narrower	2035	POND
3321	POND OR LAKE	narrower	624	LAKE
3322	SNOW OR ICE	narrower	617	ICE
3322	SNOW OR ICE	narrower	784	SNOW
3324	IRON OR METAL	narrower	2244	METAL
3324	IRON OR METAL	narrower	621	IRON
3326	LEATHER OR HIDE	narrower	629	LEATHER
3332	PRIEST OR SHAMAN	narrower	394	SHAMAN (FOLK HEALER)
3332	PRIEST OR SHAMAN	narrower	852	PRIEST
3345	ATOP OR UP	narrower	1591	UP
3345	ATOP OR UP	narrower	57	ATOP
3347	HIGH OR UP	narrower	1265	HIGH
3347	HIGH OR UP	narrower	1591	UP
3348	LOW (POSITION OR HEIGHT)	narrower	2191	LOW (HEIGHT)
3348	LOW (POSITION OR HEIGHT)	narrower	721	LOW
3351	STOP DOING	narrower	1766	FINISH
3447	BEGIN OR START	narrower	1806	BEGIN
3447	BEGIN OR START	narrower	3449	START
3448	SIEVE OR STRAIN	narrower	86	SIEVE
3448	SIEVE OR STRAIN	narrower	940	STRAIN
3456	CRAWL OR CREEP	narrower	3215	CREEP
3456	CRAWL OR CREEP	narrower	96	CRAWL
3457	HEADBAND OR HEADDRESS	narrower	330	HEADBAND
3457	HEADBAND OR HEADDRESS	narrower	331	HEADDRESS
3462	FLAX OR LINEN	narrower	3315	FLAX
3462	FLAX OR LINEN	narrower	916	LINEN
353	STRIKE	narrower	3308	STRIKE (SOMEONE)
353	STRIKE	narrower	3309	STRIKE (SOMETHING)
3541	HARVEST OR HARVEST SEASON	narrower	611	HARVEST
3603	EARTH OR LAND	narrower	1228	EARTH (SOIL)
3603	EARTH OR LAND	narrower	626	LAND
3609	TOWN OR VILLAGE	narrower	1391	TOWN
3609	TOWN OR VILLAGE	narrower	930	VILLAGE
3620	SLEEPY	narrower	1757	TIRED
3626	KNOW	narrower	1410	KNOW (SOMETHING)
3626	KNOW	narrower	2248	KNOW (SOMEBODY)
