ID,Name,Description,ColumnSpec,Concepticon_ID,Concepticon_Gloss,OriginalConcept
daynotnight,DAY (NOT NIGHT),,,1225,DAY (NOT NIGHT),
say,SAY,,,1458,SAY,
burnsomething,BURN (SOMETHING),,,141,BURN (SOMETHING),BURN
burning,BURNING,,,1428,BURNING,BURN
flower,FLOWER,,,239,FLOWER,
spider,SPIDER,,,843,SPIDER,
full,FULL,,,1429,FULL,
grass,GRASS,,,606,GRASS,
knife,KNIFE,,,1352,KNIFE,
fruit,FRUIT,,,1507,FRUIT,
rope,ROPE,,,1218,ROPE,
seed,SEED,,,714,SEED,
mountain,MOUNTAIN,,,639,MOUNTAIN,MOUNTAIN OR HILL
ten,TEN,,,1515,TEN,
wife,WIFE,,,1199,WIFE,
green,GREEN,,,1425,GREEN,
flyinsect,FLY (INSECT),,,1504,FLY (INSECT),
thunder,THUNDER,,,1150,THUNDER,
tie,TIE,,,1917,TIE,
swim,SWIM,,,1439,SWIM,
finger,FINGER,,,1303,FINGER,
chest,CHEST,,,1592,CHEST,
throat,THROAT,,,1346,THROAT,
feather,FEATHER,,,1201,FEATHER,
elbow,ELBOW,,,981,ELBOW,
cough,COUGH,,,879,COUGH,
upperlegthigh,UPPER LEG (THIGH),,,471,UPPER LEG (THIGH),
throw,THROW,,,1456,THROW,
boy,BOY,,,1366,BOY,
that,THAT,,,78,THAT,
spear,SPEAR,,,945,SPEAR,
blowofwind,BLOW (OF WIND),,,175,BLOW (OF WIND),
lightning,LIGHTNING,,,1654,LIGHTNING,
dust,DUST,,,2,DUST,
eight,EIGHT,,,1705,EIGHT,
bow,BOW,,,994,BOW,
milk,MILK,,,635,MILK,
seven,SEVEN,,,1704,SEVEN,
spit,SPIT,,,1440,SPIT,
straight,STRAIGHT,,,1404,STRAIGHT,
six,SIX,,,1703,SIX,
thick,THICK,,,1244,THICK,
bark,BARK,,,1204,BARK,
lung,LUNG,,,688,LUNG,
take,TAKE,,,1749,TAKE,
hair,HAIR,,,1040,HAIR,
chin,CHIN,,,1510,CHIN,
arrow,ARROW,,,977,ARROW,
dirty,DIRTY,,,1230,DIRTY,
hold,HOLD,,,1448,HOLD,
nine,NINE,,,1483,NINE,
cooksomething,COOK (SOMETHING),,,1100,COOK (SOMETHING),
knowsomething,KNOW (SOMETHING),,,1410,KNOW (SOMETHING),KNOW
weinclusive,WE (INCLUSIVE),,,1131,WE (INCLUSIVE),WE
weexclusive,WE (EXCLUSIVE),,,1130,WE (EXCLUSIVE),WE
forehead,FOREHEAD,,,123,FOREHEAD,
oldaged,OLD (AGED),,,2112,OLD (AGED),OLD
oldused,OLD (USED),,,2113,OLD (USED),OLD
rotten,ROTTEN,,,1728,ROTTEN,
beloworunder,BELOW OR UNDER,,,1485,BELOW OR UNDER,DOWN OR BELOW
wash,WASH,,,1453,WASH,
this,THIS,,,1214,THIS,
cat,CAT,,,1208,CAT,
husband,HUSBAND,,,1200,HUSBAND,
buy,BUY,,,1869,BUY,
smellperceive,SMELL (PERCEIVE),,,1586,SMELL (PERCEIVE),SMELL
axe,AXE,,,677,AXE,
steal,STEAL,,,713,STEAL,
ant,ANT,,,587,ANT,
dreamsomething,DREAM (SOMETHING),,,1920,DREAM (SOMETHING),DREAMING OR DREAM
forest,FOREST,,,420,FOREST,
dance,DANCE,,,1879,DANCE,
hairbody,HAIR (BODY),,,189,HAIR (BODY),
shoot,SHOOT,,,1172,SHOOT,
pull,PULL,,,1455,PULL,
hunt,HUNT,,,1435,HUNT,
fearbeafraid,FEAR (BE AFRAID),,,1419,FEAR (BE AFRAID),
girl,GIRL,,,1646,GIRL,
door,DOOR,,,1567,DOOR,
cut,CUT,,,1432,CUT,CUT (WITH KNIFE)
body,BODY,,,1480,BODY,
push,PUSH,,,1452,PUSH,
shade,SHADE,,,1388,SHADE,
firewood,FIREWOOD,,,10,FIREWOOD,
lake,LAKE,,,624,LAKE,
sick,SICK,,,1847,SICK,PAINFUL OR SICK
open,OPEN,,,1156,OPEN,
penis,PENIS,,,1222,PENIS,
round,ROUND,,,1395,ROUND,
fog,FOG,,,249,FOG,
suck,SUCK,,,1421,SUCK,
inside,INSIDE,,,1606,INSIDE,
olderbrotherofman,OLDER BROTHER (OF MAN),,,2414,OLDER BROTHER (OF MAN),OLDER BROTHER
olderbrotherofwoman,OLDER BROTHER (OF WOMAN),,,2415,OLDER BROTHER (OF WOMAN),OLDER BROTHER
honey,HONEY,,,942,HONEY,
year,YEAR,,,1226,YEAR,
sing,SING,,,1261,SING,
butterfly,BUTTERFLY,,,1791,BUTTERFLY,
hornanatomy,HORN (ANATOMY),,,1393,HORN (ANATOMY),
when,WHEN,,,1238,WHEN,
river,RIVER,,,666,RIVER,
intestines,INTESTINES,,,1991,INTESTINES,
path,PATH,,,2252,PATH,PATH OR ROAD
road,ROAD,,,667,ROAD,PATH OR ROAD
beard,BEARD,,,678,BEARD,
sweet,SWEET,,,717,SWEET,
medicine,MEDICINE,,,1372,MEDICINE,
son,SON,,,1620,SON,
village,VILLAGE,,,930,VILLAGE,
how,HOW,,,1239,HOW,
today,TODAY,,,1283,TODAY,
count,COUNT,,,1420,COUNT,
bat,BAT,,,1793,BAT,
bee,BEE,,,665,BEE,
face,FACE,,,1560,FACE,
horse,HORSE,,,615,HORSE,
hard,HARD,,,1884,HARD,
here,HERE,,,136,HERE,
twenty,TWENTY,,,1710,TWENTY,
maize,MAIZE,,,506,MAIZE,
tobacco,TOBACCO,,,974,TOBACCO,
stick,STICK,,,1295,STICK,
armpit,ARMPIT,,,1886,ARMPIT,
lip,LIP,,,478,LIP,
bitter,BITTER,,,887,BITTER,
strike,STRIKE,,,353,STRIKE,STRIKE OR BEAT
ripe,RIPE,,,178,RIPE,
buttocks,BUTTOCKS,,,834,BUTTOCKS,
carry,CARRY,,,700,CARRY,
drum,DRUM,,,908,DRUM,
brain,BRAIN,,,1583,BRAIN,
correctright,CORRECT (RIGHT),,,1725,CORRECT (RIGHT),
meat,MEAT,,,634,MEAT,FLESH OR MEAT
lightradiation,LIGHT (RADIATION),,,630,LIGHT (RADIATION),
lookfor,LOOK FOR,,,1468,LOOK FOR,
blunt,BLUNT,,,379,BLUNT,
sell,SELL,,,1571,SELL,
look,LOOK,,,1819,LOOK,
rat,RAT,,,1490,RAT,
dove,DOVE,,,1853,DOVE,
swallow,SWALLOW,,,897,SWALLOW,
morning,MORNING,,,1339,MORNING,
sweetpotato,SWEET POTATO,,,159,SWEET POTATO,
forget,FORGET,,,1523,FORGET,
grow,GROW,,,479,GROW,
crooked,CROOKED,,,297,CROOKED,
breathe,BREATHE,,,1407,BREATHE,BREATH OR BREATHE
fast,FAST,,,1631,FAST,
few,FEW,,,1242,FEW,A LITTLE
bean,BEAN,,,832,BEAN,
iron,IRON,,,621,IRON,
rib,RIB,,,801,RIB,
bed,BED,,,1663,BED,
dew,DEW,,,1977,DEW,
sea,SEA,,,1474,SEA,
sew,SEW,,,1457,SEW,
monkey,MONKEY,,,1350,MONKEY,
grandfather,GRANDFATHER,,,1383,GRANDFATHER,
oldersisterofman,OLDER SISTER (OF MAN),,,2418,OLDER SISTER (OF MAN),SISTER
oldersisterofwoman,OLDER SISTER (OF WOMAN),,,2419,OLDER SISTER (OF WOMAN),SISTER
jump,JUMP,,,1829,JUMP,
scratch,SCRATCH,,,1436,SCRATCH,
bury,BURY,,,1719,BURY,
hole,HOLE,,,1667,HOLE,
sneeze,SNEEZE,,,1621,SNEEZE,
hundred,HUNDRED,,,1634,HUNDRED,
clothes,CLOTHES,,,1895,CLOTHES,
thinkreflect,THINK (REFLECT),,,1415,THINK (REFLECT),THINK
thinkbelieve,THINK (BELIEVE),,,1513,THINK (BELIEVE),THINK
narrow,NARROW,,,1267,NARROW,
dark,DARK,,,706,DARK,
now,NOW,,,1376,NOW,
wide,WIDE,,,1243,WIDE,
cheek,CHEEK,,,1730,CHEEK,
bealive,BE ALIVE,,,1422,BE ALIVE,BE ALIVE OR LIFE
there,THERE,,,1937,THERE,
squeeze,SQUEEZE,,,1414,SQUEEZE,
soft,SOFT,,,1856,SOFT,
canoe,CANOE,,,1970,CANOE,
outside,OUTSIDE,,,762,OUTSIDE,
basket,BASKET,,,1539,BASKET,
sour,SOUR,,,1906,SOUR,
not,NOT,,,1240,NOT,NO OR NOT
fight,FIGHT,,,1423,FIGHT,
play,PLAY,,,1413,PLAY,
duck,DUCK,,,1360,DUCK,
wood,WOOD,,,1803,WOOD,
daughter,DAUGHTER,,,1357,DAUGHTER,
goat,GOAT,,,1502,GOAT,
climb,CLIMB,,,1102,CLIMB,
goupascend,GO UP (ASCEND),,,705,GO UP (ASCEND),
childdescendant,CHILD (DESCENDANT),,,1801,CHILD (DESCENDANT),CHILD
childyounghuman,CHILD (YOUNG HUMAN),,,1304,CHILD (YOUNG HUMAN),CHILD
rooster,ROOSTER,,,1511,ROOSTER,
split,SPLIT,,,1437,SPLIT,
cow,COW,,,1007,COW,
slow,SLOW,,,701,SLOW,
do,DO,,,813,DO,DO OR MAKE
want,WANT,,,1784,WANT,
eleven,ELEVEN,,,1706,ELEVEN,
lightweight,LIGHT (WEIGHT),,,1052,LIGHT (WEIGHT),
toe,TOE,,,1389,TOE,
napeofneck,NAPE (OF NECK),,,1347,NAPE (OF NECK),
hideconceal,HIDE (CONCEAL),,,602,HIDE (CONCEAL),HIDE
hideoneself,HIDE (ONESELF),,,2485,HIDE (ONESELF),HIDE
chicken,CHICKEN,,,1318,CHICKEN,
swell,SWELL,,,1573,SWELL,
worklabour,WORK (LABOUR),,,984,WORK (LABOUR),
friend,FRIEND,,,1325,FRIEND,
dryup,DRY UP,,,1786,DRY UP,
above,ABOVE,,,1741,ABOVE,
oldwoman,OLD WOMAN,,,907,OLD WOMAN,
sugarcane,SUGAR CANE,,,146,SUGAR CANE,
grandmother,GRANDMOTHER,,,1496,GRANDMOTHER,
scorpion,SCORPION,,,1538,SCORPION,
ground,GROUND,,,2159,GROUND,
stomach,STOMACH,,,819,STOMACH,
piss,PISS,,,592,PISS,
yawn,YAWN,,,1028,YAWN,
enter,ENTER,,,749,ENTER,
crow,CROW,,,913,CROW,
twelve,TWELVE,,,1707,TWELVE,
blowwithmouth,BLOW (WITH MOUTH),,,176,BLOW (WITH MOUTH),
needleforsewing,NEEDLE (FOR SEWING),,,1382,NEEDLE (FOR SEWING),
rainbow,RAINBOW,,,1733,RAINBOW,
shoe,SHOE,,,1381,SHOE,
faecesexcrement,FAECES (EXCREMENT),,,675,FAECES (EXCREMENT),
mud,MUD,,,640,MUD,
he,HE,,,1211,HE,HE OR SHE OR IT
she,SHE,,,1834,SHE,HE OR SHE OR IT
it,IT,,,169,IT,HE OR SHE OR IT
urine,URINE,,,1142,URINE,
hairhead,HAIR (HEAD),,,2648,HAIR (HEAD),
heel,HEEL,,,980,HEEL,
young,YOUNG,,,1207,YOUNG,
beautiful,BEAUTIFUL,,,1427,BEAUTIFUL,
sweep,SWEEP,,,230,SWEEP,
comeback,COME BACK,,,581,COME BACK,
flow,FLOW,,,2003,FLOW,
bamboo,BAMBOO,,,1927,BAMBOO,
turnsomething,TURN (SOMETHING),,,1445,TURN (SOMETHING),TURN
turnaround,TURN AROUND,,,1444,TURN AROUND,TURN
hoe,HOE,,,284,HOE,
rub,RUB,,,1449,RUB,
bathe,BATHE,,,138,BATHE,
youngerbrotherofwoman,YOUNGER BROTHER (OF WOMAN),,,2417,YOUNGER BROTHER (OF WOMAN),YOUNGER BROTHER
youngerbrotherofman,YOUNGER BROTHER (OF MAN),,,2416,YOUNGER BROTHER (OF MAN),YOUNGER BROTHER
garden,GARDEN,,,586,GARDEN,
cotton,COTTON,,,1850,COTTON,
put,PUT,,,998,PUT,
fence,FENCE,,,1690,FENCE,
charcoal,CHARCOAL,,,1188,CHARCOAL,
other,OTHER,,,197,OTHER,
lick,LICK,,,319,LICK,
mat,MAT,,,195,MAT,
behungry,BE HUNGRY,,,1533,BE HUNGRY,
flat,FLAT,,,1633,FLAT,
pour,POUR,,,1487,POUR,
arrive,ARRIVE,,,1387,ARRIVE,
breakcleave,BREAK (CLEAVE),,,2558,BREAK (CLEAVE),BREAK (DESTROY OR GET DESTROYED)
breakbreaking,BREAK (BREAKING),,,3020,BREAK (BREAKING),BREAK (DESTROY OR GET DESTROYED)
worm,WORM,,,1219,WORM,
animal,ANIMAL,,,619,ANIMAL,
learn,LEARN,,,504,LEARN,
banana,BANANA,,,868,BANANA,
snore,SNORE,,,1983,SNORE,
tearofeye,TEAR (OF EYE),,,1651,TEAR (OF EYE),
no,NO,,,1269,NO,NO OR NOT
comb,COMB,,,1475,COMB,
palmofhand,PALM OF HAND,,,1183,PALM OF HAND,
askinquire,ASK (INQUIRE),,,1309,ASK (INQUIRE),
empty,EMPTY,,,1624,EMPTY,
youngersisterofman,YOUNGER SISTER (OF MAN),,,2420,YOUNGER SISTER (OF MAN),YOUNGER SISTER
youngersisterofwoman,YOUNGER SISTER (OF WOMAN),,,2421,YOUNGER SISTER (OF WOMAN),YOUNGER SISTER
elephant,ELEPHANT,,,1290,ELEPHANT,
blue,BLUE,,,837,BLUE,
claw,CLAW,,,72,CLAW,CLAW OR NAIL
sheep,SHEEP,,,1331,SHEEP,
behind,BEHIND,,,1686,BEHIND,
bull,BULL,,,1008,BULL,
get,GET,,,694,GET,
town,TOWN,,,1391,TOWN,
thing,THING,,,738,THING,
clean,CLEAN,,,704,CLEAN,
deep,DEEP,,,1593,DEEP,
smooth,SMOOTH,,,1234,SMOOTH,
thread,THREAD,,,1161,THREAD,
god,GOD,,,1944,GOD,
rainraining,RAIN (RAINING),,,1253,RAIN (RAINING),RAINING OR RAIN
flesh,FLESH,,,2259,FLESH,FLESH OR MEAT
spoon,SPOON,,,1378,SPOON,
oldman,OLD MAN,,,406,OLD MAN,
poor,POOR,,,1674,POOR,
broom,BROOM,,,245,BROOM,
eyebrow,EYEBROW,,,1173,EYEBROW,
owl,OWL,,,735,OWL,
word,WORD,,,1599,WORD,
testicles,TESTICLES,,,797,TESTICLES,
raw,RAW,,,1959,RAW,
happy,HAPPY,,,1495,HAPPY,
rich,RICH,,,712,RICH,
chew,CHEW,,,321,CHEW,
before,BEFORE,,,1882,BEFORE,
remember,REMEMBER,,,707,REMEMBER,
turtle,TURTLE,,,112,TURTLE,
thinofshapeofobject,THIN (OF SHAPE OF OBJECT),,,2249,THIN (OF SHAPE OF OBJECT),THIN (OF LEAF AND CLOTH)
thinslim,THIN (SLIM),,,1400,THIN (SLIM),THIN
love,LOVE,,,923,LOVE,
kneel,KNEEL,,,66,KNEEL,
kidney,KIDNEY,,,489,KIDNEY,
touch,TOUCH,,,1892,TOUCH,
parrot,PARROT,,,882,PARROT,
calf,CALF,,,1989,CALF,
teach,TEACH,,,709,TEACH,
king,KING,,,1508,KING,
listen,LISTEN,,,1608,LISTEN,
branch,BRANCH,,,1531,BRANCH,BRANCH OR TWIG
choose,CHOOSE,,,1750,CHOOSE,
gold,GOLD,,,1369,GOLD,
salty,SALTY,,,1091,SALTY,
boilofliquid,BOIL (OF LIQUID),,,792,BOIL (OF LIQUID),BOIL
soup,SOUP,,,1547,SOUP,
gun,GUN,,,1566,GUN,CANNON OR GUN
lazy,LAZY,,,1564,LAZY,
pot,POT,,,1462,POT,COOKING POT
again,AGAIN,,,204,AGAIN,
saliva,SALIVA,,,1503,SALIVA,
trousers,TROUSERS,,,809,TROUSERS,
divide,DIVIDE,,,1119,DIVIDE,
fishing,FISHING,,,2638,FISHING,
and,AND,,,1577,AND,
mushroom,MUSHROOM,,,641,MUSHROOM,
voice,VOICE,,,1363,VOICE,
tearshred,TEAR (SHRED),,,1735,TEAR (SHRED),
shitdefecate,SHIT (DEFECATE),,,676,SHIT (DEFECATE),
godowndescend,GO DOWN (DESCEND),,,2014,GO DOWN (DESCEND),
nest,NEST,,,539,NEST,
finish,FINISH,,,1766,FINISH,
stupid,STUPID,,,1518,STUPID,
crocodile,CROCODILE,,,1857,CROCODILE,
plantsomething,PLANT (SOMETHING),,,1486,PLANT (SOMETHING),
blind,BLIND,,,1653,BLIND,
cloth,CLOTH,,,1616,CLOTH,
infrontof,IN FRONT OF,,,1883,IN FRONT OF,
bridge,BRIDGE,,,1011,BRIDGE,
thumb,THUMB,,,1781,THUMB,
high,HIGH,,,1265,HIGH,
weave,WEAVE,,,133,WEAVE,
seize,SEIZE,,,855,SEIZE,
dayaftertomorrow,DAY AFTER TOMORROW,,,1179,DAY AFTER TOMORROW,
money,MONEY,,,1559,MONEY,
vein,VEIN,,,1924,VEIN,BLOOD VESSEL
lizard,LIZARD,,,632,LIZARD,
boat,BOAT,,,1844,BOAT,
flea,FLEA,,,232,FLEA,
wasp,WASP,,,1517,WASP,
lift,LIFT,,,501,LIFT,
hen,HEN,,,1514,HEN,
centipede,CENTIPEDE,,,1974,CENTIPEDE,
deer,DEER,,,1936,DEER,LARGE WILD HERBIVORE
east,EAST,,,1877,EAST,
weak,WEAK,,,1601,WEAK,
book,BOOK,,,963,BOOK,
tired,TIRED,,,1757,TIRED,
press,PRESS,,,1913,PRESS,
grind,GRIND,,,1033,GRIND,
answer,ANSWER,,,1275,ANSWER,
lion,LION,,,1386,LION,
remain,REMAIN,,,987,REMAIN,
pestle,PESTLE,,,225,PESTLE,
west,WEST,,,1817,WEST,
shout,SHOUT,,,715,SHOUT,
earring,EARRING,,,770,EARRING,
deaf,DEAF,,,996,DEAF,
daybeforeyesterday,DAY BEFORE YESTERDAY,,,1180,DAY BEFORE YESTERDAY,
chieftain,CHIEFTAIN,,,301,CHIEFTAIN,
cave,CAVE,,,1155,CAVE,
meet,MEET,,,1831,MEET,
guest,GUEST,,,1782,GUEST,
half,HALF,,,816,HALF,
help,HELP,,,1897,HELP,
wallofhouse,WALL (OF HOUSE),,,933,WALL (OF HOUSE),
grasshopper,GRASSHOPPER,,,607,GRASSHOPPER,
shiver,SHIVER,,,52,SHIVER,
jaw,JAW,,,798,JAW,
dwelllivereside,"DWELL (LIVE, RESIDE)",,,363,"DWELL (LIVE, RESIDE)",
leave,LEAVE,,,1752,LEAVE,
placeposition,PLACE (POSITION),,,723,PLACE (POSITION),
shut,SHUT,,,1046,SHUT,
sword,SWORD,,,1535,SWORD,
snow,SNOW,,,784,SNOW,
stinking,STINKING,,,42,STINKING,
cattle,CATTLE,,,1153,CATTLE,
puton,PUT ON,,,158,PUT ON,
yam,YAM,,,410,YAM,
cover,COVER,,,761,COVER,
market,MARKET,,,633,MARKET,
ugly,UGLY,,,1548,UGLY,
if,IF,,,1459,IF,
low,LOW,,,721,LOW,
gather,GATHER,,,7,GATHER,
pickup,PICK UP,,,371,PICK UP,
maternalunclemothersbrother,MATERNAL UNCLE (MOTHER'S BROTHER),,,2692,MATERNAL UNCLE (MOTHER'S BROTHER),UNCLE
south,SOUTH,,,1595,SOUTH,
physician,PHYSICIAN,,,597,PHYSICIAN,
askrequest,ASK (REQUEST),,,1828,ASK (REQUEST),
build,BUILD,,,1840,BUILD,
grave,GRAVE,,,1773,GRAVE,
send,SEND,,,1127,SEND,
snail,SNAIL,,,1543,SNAIL,
fasten,FASTEN,,,1094,FASTEN,
north,NORTH,,,1598,NORTH,
ankle,ANKLE,,,803,ANKLE,
skirt,SKIRT,,,1600,SKIRT,
true,TRUE,,,1657,TRUE,
flour,FLOUR,,,1594,FLOUR,
dawn,DAWN,,,729,DAWN,
food,FOOD,,,256,FOOD,
why,WHY,,,1270,WHY,
rest,REST,,,168,REST,
language,LANGUAGE,,,1307,LANGUAGE,
midday,MIDDAY,,,12,MIDDAY,
shallow,SHALLOW,,,193,SHALLOW,
hate,HATE,,,1607,HATE,
which,WHICH,,,727,WHICH,
catch,CATCH,,,702,CATCH,
song,SONG,,,1096,SONG,
yes,YES,,,1268,YES,
wakeup,WAKE UP,,,1602,WAKE UP,
itch,ITCH,,,148,ITCH,ITCH OR ITCHY OR ITCHING
evening,EVENING,,,1629,EVENING,
roof,ROOF,,,769,ROOF,THATCH OR ROOF
cure,CURE,,,499,CURE,
sitdown,SIT DOWN,,,1649,SIT DOWN,
read,READ,,,724,READ,
hawk,HAWK,,,307,HAWK,EAGLE OR HAWK
cutdown,CUT DOWN,,,355,CUT DOWN,
eagle,EAGLE,,,1905,EAGLE,EAGLE OR HAWK
untie,UNTIE,,,352,UNTIE,
howmanypieces,HOW MANY PIECES,,,3450,HOW MANY PIECES,HOW MANY
howmuch,HOW MUCH,,,531,HOW MUCH,HOW MANY
ghost,GHOST,,,1175,GHOST,
bring,BRING,,,692,BRING,
oldperson,OLD PERSON,,,725,OLD PERSON,
pregnant,PREGNANT,,,1123,PREGNANT,
change,CHANGE,,,1264,CHANGE,
tell,TELL,,,1711,TELL,
expensive,EXPENSIVE,,,1426,EXPENSIVE,
tastesomething,TASTE (SOMETHING),,,21,TASTE (SOMETHING),
top,TOP,,,1753,TOP,
fart,FART,,,1159,FART,
call,CALL,,,1084,CALL,
month,MONTH,,,1370,MONTH,
vegetables,VEGETABLES,,,924,VEGETABLES,
foam,FOAM,,,1768,FOAM,
muroidmouseorrat,MUROID (MOUSE OR RAT),,,2139,MUROID (MOUSE OR RAT),
sinkdescend,SINK (DESCEND),,,1088,SINK (DESCEND),
soul,SOUL,,,811,SOUL,
gourd,GOURD,,,411,GOURD,
bright,BRIGHT,,,679,BRIGHT,
sweatsubstance,SWEAT (SUBSTANCE),,,125,SWEAT (SUBSTANCE),PERSPIRE OR SWEAT
write,WRITE,,,1672,WRITE,
calfofleg,CALF OF LEG,,,498,CALF OF LEG,
separate,SEPARATE,,,1359,SEPARATE,
plate,PLATE,,,480,PLATE,
fifteen,FIFTEEN,,,1709,FIFTEEN,
hunger,HUNGER,,,1864,HUNGER,
cheap,CHEAP,,,1887,CHEAP,
pillow,PILLOW,,,1044,PILLOW,
thousand,THOUSAND,,,1843,THOUSAND,
goout,GO OUT,,,1107,GO OUT,
float,FLOAT,,,1574,FLOAT,
show,SHOW,,,1039,SHOW,
thorn,THORN,,,124,THORN,
paper,PAPER,,,648,PAPER,
sharpensomething,SHARPEN (SOMETHING),,,251,SHARPEN (SOMETHING),
in,IN,,,1460,IN,
hut,HUT,,,1678,HUT,
chilipepper,CHILI PEPPER,,,919,CHILI PEPPER,
follow,FOLLOW,,,1085,FOLLOW,
make,MAKE,,,734,MAKE,DO OR MAKE
afternoon,AFTERNOON,,,1807,AFTERNOON,
embrace,EMBRACE,,,928,EMBRACE,
corpse,CORPSE,,,767,CORPSE,
silver,SILVER,,,759,SILVER,
sugar,SUGAR,,,862,SUGAR,
borrow,BORROW,,,1823,BORROW,
cooked,COOKED,,,269,COOKED,
country,COUNTRY,,,1300,COUNTRY,
baby,BABY,,,1289,BABY,
warm,WARM,,,1232,WARM,HOT OR WARM
fill,FILL,,,2006,FILL,
